run_id,initial_state,algorithm,cost_function,heuristic,random_successors,goal_state_found,path_length,path_cost,nodes_generated,nodes_visited,execution_time_sec
194,163478_25,AStarSearch,C1,H1,False,1234567_8,15,30.0,1397,511,0.025
195,163478_25,AStarSearch,C1,H2,False,1234567_8,15,30.0,359,131,0.007
196,163478_25,UniformCostSearch,C2,N/A,False,1234567_8,15,37.0,18115,6703,0.1196
197,163478_25,AStarSearch,C2,H1,False,1234567_8,15,37.0,1873,678,0.0371
198,163478_25,AStarSearch,C2,H2,False,1234567_8,15,37.0,607,222,0.011
199,163478_25,UniformCostSearch,C3,N/A,False,1234567_8,15,38.0,22528,8305,0.1386
200,163478_25,AStarSearch,C3,H1,False,1234567_8,15,38.0,2255,841,0.0471
201,163478_25,AStarSearch,C3,H2,False,1234567_8,15,38.0,692,260,0.015
202,163478_25,UniformCostSearch,C4,N/A,False,1234567_8,15,45.0,19004,7319,0.12
203,163478_25,AStarSearch,C4,H1,False,1234567_8,15,45.0,3041,1142,0.0568
204,163478_25,AStarSearch,C4,H2,False,1234567_8,15,45.0,1117,422,0.0251
205,48162573_,UniformCostSearch,C1,N/A,False,12345_678,17,34.0,46732,17235,0.3057
206,48162573_,AStarSearch,C1,H1,False,1234567_8,17,34.0,3264,1212,0.0591
207,48162573_,AStarSearch,C1,H2,False,12345_678,17,34.0,462,174,0.0081
208,48162573_,UniformCostSearch,C2,N/A,False,12345_678,17,42.0,42121,15698,0.2578
209,48162573_,AStarSearch,C2,H1,False,12345_678,17,42.0,4622,1739,0.0819
210,48162573_,AStarSearch,C2,H2,False,12345_678,17,42.0,1027,385,0.0191
211,48162573_,UniformCostSearch,C3,N/A,False,1234567_8,17,42.0,42884,15977,0.2894
212,48162573_,AStarSearch,C3,H1,False,1234567_8,17,42.0,4491,1687,0.0792
213,48162573_,AStarSearch,C3,H2,False,1234567_8,17,42.0,960,362,0.018
214,48162573_,UniformCostSearch,C4,N/A,False,12345_678,17,47.0,26681,10392,0.2035
215,48162573_,AStarSearch,C4,H1,False,12345_678,17,47.0,4052,1523,0.0773
216,48162573_,AStarSearch,C4,H2,False,12345_678,17,47.0,1038,395,0.0212
217,74623185_,UniformCostSearch,C1,N/A,False,1234_5678,22,44.0,357419,131829,3.0772
218,74623185_,AStarSearch,C1,H1,False,12345678_,22,44.0,27059,10011,0.5008
219,74623185_,AStarSearch,C1,H2,False,1234_5678,22,44.0,2671,1006,0.0507
220,74623185_,UniformCostSearch,C2,N/A,False,12345678_,22,54.0,323742,126433,2.7414
221,74623185_,AStarSearch,C2,H1,False,12345678_,22,54.0,35702,13459,0.684
222,74623185_,AStarSearch,C2,H2,False,12345678_,22,54.0,4834,1847,0.0951
223,74623185_,UniformCostSearch,C3,N/A,False,1234_5678,22,55.0,357538,137367,3.2161
224,74623185_,AStarSearch,C3,H1,False,1234_5678,22,55.0,41425,15153,0.8017
225,74623185_,AStarSearch,C3,H2,False,1234_5678,22,55.0,6096,2226,0.121
226,74623185_,UniformCostSearch,C4,N/A,False,1234_5678,22,62.0,193279,79639,1.7305
227,74623185_,AStarSearch,C4,H1,False,1234_5678,22,62.0,37137,14043,0.7445
228,74623185_,AStarSearch,C4,H2,False,1234_5678,22,62.0,6534,2486,0.135
229,356841_27,UniformCostSearch,C1,N/A,False,123456_78,22,44.0,322591,117264,2.756
230,356841_27,AStarSearch,C1,H1,False,123456_78,22,44.0,26816,9914,0.4887
231,356841_27,AStarSearch,C1,H2,False,123456_78,22,44.0,2833,1067,0.0541
232,356841_27,UniformCostSearch,C2,N/A,False,123456_78,22,56.0,372300,142659,3.2848
233,356841_27,AStarSearch,C2,H1,False,123456_78,22,56.0,49546,18666,0.9395
234,356841_27,AStarSearch,C2,H2,False,123456_78,22,56.0,7546,2864,0.149
235,356841_27,UniformCostSearch,C3,N/A,False,123456_78,22,54.0,288306,109032,2.4807
236,356841_27,AStarSearch,C3,H1,False,123456_78,22,54.0,35693,13453,0.6902
237,356841_27,AStarSearch,C3,H2,False,123456_78,22,54.0,5097,1950,0.1001
238,356841_27,UniformCostSearch,C4,N/A,False,123456_78,22,68.0,317764,135440,3.0139
239,356841_27,AStarSearch,C4,H1,False,12345678_,24,68.0,85003,32193,1.7497
240,356841_27,AStarSearch,C4,H2,False,123456_78,22,68.0,18606,7124,0.4108
241,_35164278,UniformCostSearch,C1,N/A,False,1234_5678,14,28.0,10891,3996,0.0571
242,_35164278,AStarSearch,C1,H1,False,1234_5678,14,28.0,950,349,0.017
243,_35164278,AStarSearch,C1,H2,False,1234_5678,14,28.0,295,108,0.006
244,_35164278,UniformCostSearch,C2,N/A,False,1234_5678,14,35.0,11817,4407,0.0574
245,_35164278,AStarSearch,C2,H1,False,1234_5678,14,35.0,1338,488,0.024
246,_35164278,AStarSearch,C2,H2,False,1234_5678,14,35.0,442,161,0.008
247,_35164278,UniformCostSearch,C3,N/A,False,1234_5678,14,35.0,11407,4306,0.0922
248,_35164278,AStarSearch,C3,H1,False,1234_5678,14,35.0,1346,490,0.027
249,_35164278,AStarSearch,C3,H2,False,1234_5678,14,35.0,404,148,0.008
250,_35164278,UniformCostSearch,C4,N/A,False,1234_5678,14,42.0,11731,4561,0.0747
251,_35164278,AStarSearch,C4,H1,False,1234_5678,14,42.0,1967,739,0.0362
252,_35164278,AStarSearch,C4,H2,False,1234_5678,14,42.0,688,259,0.0142
253,8176_4235,UniformCostSearch,C1,N/A,False,1_2345678,21,42.0,358880,130755,3.0034
254,8176_4235,AStarSearch,C1,H1,False,1_2345678,21,42.0,20552,7592,0.3934
255,8176_4235,AStarSearch,C1,H2,False,1_2345678,21,42.0,1101,410,0.0212
256,8176_4235,UniformCostSearch,C2,N/A,False,1_2345678,21,52.0,259454,99844,2.1073
257,8176_4235,AStarSearch,C2,H1,False,1_2345678,21,52.0,29323,10707,0.5524
258,8176_4235,AStarSearch,C2,H2,False,1_2345678,21,52.0,3002,1103,0.0592
259,8176_4235,UniformCostSearch,C3,N/A,False,1_2345678,21,53.0,347550,132380,3.0177
260,8176_4235,AStarSearch,C3,H1,False,1_2345678,21,53.0,35277,13261,0.6755
261,8176_4235,AStarSearch,C3,H2,False,1_2345678,21,53.0,3892,1485,0.0755
262,8176_4235,UniformCostSearch,C4,N/A,False,1_2345678,21,63.0,273307,114508,2.6065
263,8176_4235,AStarSearch,C4,H1,False,1_2345678,21,63.0,58802,22228,1.2028
264,8176_4235,AStarSearch,C4,H2,False,1_2345678,21,63.0,9957,3779,0.2074
265,_54826317,UniformCostSearch,C1,N/A,False,12345678_,24,48.0,714181,265840,6.5334
266,_54826317,AStarSearch,C1,H1,False,12345678_,24,48.0,61933,22894,1.1252
267,_54826317,AStarSearch,C1,H2,False,12345678_,24,48.0,6950,2613,0.139
268,_54826317,UniformCostSearch,C2,N/A,False,12345678_,24,60.0,559673,216305,5.0334
269,_54826317,AStarSearch,C2,H1,False,12345678_,24,60.0,92562,34894,1.7557
270,_54826317,AStarSearch,C2,H2,False,12345678_,24,60.0,15615,5938,0.3335
271,_54826317,UniformCostSearch,C3,N/A,False,12345678_,24,60.0,564356,218773,5.2747
272,_54826317,AStarSearch,C3,H1,False,12345678_,24,60.0,93198,35108,1.7577
273,_54826317,AStarSearch,C3,H2,False,12345678_,24,60.0,15968,6077,0.3298
274,_54826317,UniformCostSearch,C4,N/A,False,12345678_,24,67.0,291317,123519,2.7965
275,_54826317,AStarSearch,C4,H1,False,12345678_,24,67.0,73960,27995,1.4922
276,_54826317,AStarSearch,C4,H2,False,12345678_,24,67.0,14490,5531,0.3232
277,_43125768,UniformCostSearch,C1,N/A,False,123_45678,17,34.0,46081,17018,0.2836
278,_43125768,AStarSearch,C1,H1,False,1_2345678,17,34.0,4390,1608,0.0776
279,_43125768,AStarSearch,C1,H2,False,123_45678,17,34.0,1510,556,0.0289
280,_43125768,UniformCostSearch,C2,N/A,False,123_45678,17,42.0,44464,16510,0.2942
281,_43125768,AStarSearch,C2,H1,False,123_45678,17,42.0,5751,2142,0.1027
282,_43125768,AStarSearch,C2,H2,False,123_45678,17,42.0,2260,846,0.0428
283,_43125768,UniformCostSearch,C3,N/A,False,1_2345678,17,42.0,43837,16305,0.2682
284,_43125768,AStarSearch,C3,H1,False,1_2345678,17,42.0,5798,2170,0.1212
285,_43125768,AStarSearch,C3,H2,False,1_2345678,17,42.0,2314,868,0.0442
286,_43125768,UniformCostSearch,C4,N/A,False,123_45678,17,47.0,26393,10280,0.1756
287,_43125768,AStarSearch,C4,H1,False,123_45678,17,47.0,4861,1818,0.1071
288,_43125768,AStarSearch,C4,H2,False,123_45678,17,47.0,2139,803,0.043
289,6_2834517,UniformCostSearch,C1,N/A,False,_12345678,19,38.0,159617,59847,1.1292
290,6_2834517,AStarSearch,C1,H1,False,_12345678,19,38.0,8030,2963,0.1636
291,6_2834517,AStarSearch,C1,H2,False,_12345678,19,38.0,652,242,0.0131
292,6_2834517,UniformCostSearch,C2,N/A,False,_12345678,19,47.0,128172,49418,0.8787
293,6_2834517,AStarSearch,C2,H1,False,_12345678,19,47.0,11876,4447,0.2398
294,6_2834517,AStarSearch,C2,H2,False,_12345678,19,47.0,1728,655,0.0331
295,6_2834517,UniformCostSearch,C3,N/A,False,_12345678,19,48.0,145975,55830,1.0655
296,6_2834517,AStarSearch,C3,H1,False,_12345678,19,48.0,13690,5134,0.2514
297,6_2834517,AStarSearch,C3,H2,False,_12345678,19,48.0,1951,737,0.0549
298,6_2834517,UniformCostSearch,C4,N/A,False,_12345678,19,58.0,133558,54056,1.0675
299,6_2834517,AStarSearch,C4,H1,False,_12345678,19,58.0,22458,8450,0.4549
300,6_2834517,AStarSearch,C4,H2,False,_12345678,19,58.0,4253,1610,0.0912
301,_54621873,UniformCostSearch,C1,N/A,False,12345_678,19,38.0,145205,52550,1.0834
302,_54621873,AStarSearch,C1,H1,False,12345_678,19,38.0,6739,2490,0.1222
303,_54621873,AStarSearch,C1,H2,False,12345_678,19,38.0,643,240,0.0132
